index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,8,,3,3,3,
3,2,,,,3,,,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,,,3,,,
7,,,,1,,,,3
8,,9,14,2,,3,3,3
9,8,,15,,3,,3,
10,,11,,4,,3,,3
11,10,12,17,,3,3,3,
12,11,,18,,3,,3,
13,,14,,,,3,,
14,13,,,8,3,,,3
15,,16,21,9,,3,3,3
16,15,,22,,3,,3,
17,,,23,11,,,3,3
18,,,24,12,,,3,3
19,,20,25,,,3,3,
20,19,21,26,,3,3,3,
21,20,,,15,3,,,3
22,,,28,16,,,3,3
23,,,29,17,,,3,3
24,,,30,18,,,3,3
25,,,31,19,,,3,3
26,,,,20,,,,3
27,,28,33,,,3,3,
28,27,,,22,3,,,3
29,,,35,23,,,3,3
30,,,36,24,,,3,3
31,,32,,25,,3,,3
32,31,,38,,3,,3,
33,,34,,27,,3,,3
34,33,35,40,,3,3,3,
35,34,,,29,3,,,3
36,,,42,30,,,3,3
37,,38,,,,3,,
38,37,39,44,32,3,3,3,3
39,38,,45,,3,,3,
40,,,,34,,,,3
41,,42,47,,,3,3,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,,,38,3,,,3
45,,46,,39,,3,,3
46,45,,,,3,,,
47,,48,,41,,3,,3
48,47,,,42,3,,,3
